Name,Description,Price
"REDMI 10A (Sea Blue, 64 GB)",4 GB RAM | 64 GB ROM,"₹8,335"
"REDMI 10A (Slate grey, 64 GB)",4 GB RAM | 64 GB ROM,"₹8,259"
"REDMI 10 Power (Power Black, 128 GB)",8 GB RAM | 128 GB ROM,"₹12,402"
"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"₹27,999"
"REDMI 10A (Charcoal Black, 32 GB)",3 GB RAM | 32 GB ROM,"₹7,988"
"REDMI 10A (Charcoal Black, 64 GB)",4 GB RAM | 64 GB ROM,"₹8,110"
"Redmi Note 11 (Horizon Blue, 64 GB)",6 GB RAM | 64 GB ROM,"₹12,996"
"REDMI 10A (Slate grey, 64 GB)",4 GB RAM | 64 GB ROM,"₹8,248"
"REDMI 10 Power (Sporty Orange, 128 GB)",8 GB RAM | 128 GB ROM,"₹12,650"
"Redmi 9A Sport (Coral Green, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,"₹6,950"
"Redmi 9A Sport (Carbon Black, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,"₹6,636"
"REDMI Note 11T 5G (Aquamarine Blue, 128 GB)",6 GB RAM | 128 GB ROM,"₹17,398"
"REDMI 10A (Sea Blue, 64 GB)",4 GB RAM | 64 GB ROM,"₹8,844"
"Redmi Note 11 (Space Black, 64 GB)",6 GB RAM | 64 GB ROM,"₹13,100"
"Redmi Note 11 PRO Plus 5G (Stealth Black, 128 GB)",6 GB RAM | 128 GB ROM,"₹19,745"
"Redmi Note 11 PRO Plus 5G (Stealth Black, 256 GB)",8 GB RAM | 256 GB ROM,"₹23,581"
"Redmi Note 11 PRO Plus 5G (Phantom White, 128 GB)",8 GB RAM | 128 GB ROM,"₹21,280"
"Redmi Note 11 PRO Plus 5G (Mirage Blue, 256 GB)",8 GB RAM | 256 GB ROM,"₹23,577"
"REDMI Note 11T 5G (Stardust White, 128 GB)",6 GB RAM | 128 GB ROM,"₹17,477"
"Redmi 9A (Nature Green, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,"₹7,690"
"Redmi 9A (Midnight Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,"₹7,800"
"Redmi 9A Sport (Carbon Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,"₹6,964"
"Redmi 9A Sport (Coral Green, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,"₹6,651"
"Redmi Note 11 (Starburst White, 64 GB)",4 GB RAM | 64 GB ROM,"₹12,289"
